onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.025	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.026	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.291	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.291	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.541	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.541	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.791	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.79	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.04	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.04	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.29	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.29	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.54	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.54	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.789	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.789	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.039	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.039	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.289	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.289	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.539	1	TrialStart	Oddball	11	1	1	1	801	Hit
28.539	0.2	ToneStart	Oddball	11	1	1	1	801	Hit
29.789	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.788	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.038	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.038	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.288	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.288	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.538	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.537	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
40.787	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
42.787	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.037	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.037	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.287	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.287	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.536	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.536	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
52.786	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
53.786	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.036	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.036	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.286	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.285	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.535	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.535	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
63.785	2	TrialStart	Oddball	24	1	1	1	586	Hit
65.785	0.2	ToneStart	Oddball	24	1	1	1	586	Hit
67.035	2	TrialStart	Standard	25	0	0	1	n/a	CorrectRejection
69.034	0.2	ToneStart	Standard	25	0	0	1	n/a	CorrectRejection
70.284	2	TrialStart	Standard	26	0	0	1	n/a	CorrectRejection
72.284	0.2	ToneStart	Standard	26	0	0	1	n/a	CorrectRejection
73.534	1	TrialStart	Standard	27	0	0	1	n/a	CorrectRejection
74.534	0.2	ToneStart	Standard	27	0	0	1	n/a	CorrectRejection
75.784	2	TrialStart	Standard	28	0	0	1	n/a	CorrectRejection
77.783	0.2	ToneStart	Standard	28	0	0	1	n/a	CorrectRejection
79.033	2	TrialStart	Oddball	29	1	1	1	931	Hit
81.033	0.2	ToneStart	Oddball	29	1	1	1	931	Hit
82.283	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
83.283	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
84.533	1	TrialStart	Standard	31	0	0	1	n/a	CorrectRejection
85.533	0.2	ToneStart	Standard	31	0	0	1	n/a	CorrectRejection
86.782	2	TrialStart	Standard	32	0	0	1	n/a	CorrectRejection
88.782	0.2	ToneStart	Standard	32	0	0	1	n/a	CorrectRejection
90.032	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.032	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
92.282	2	TrialStart	Standard	34	0	0	1	n/a	CorrectRejection
94.282	0.2	ToneStart	Standard	34	0	0	1	n/a	CorrectRejection
95.532	2	TrialStart	Standard	35	0	0	1	n/a	CorrectRejection
97.531	0.2	ToneStart	Standard	35	0	0	1	n/a	CorrectRejection
98.781	1	TrialStart	Standard	36	0	0	1	n/a	CorrectRejection
99.781	0.2	ToneStart	Standard	36	0	0	1	n/a	CorrectRejection
101.031	1	TrialStart	Standard	37	0	0	1	n/a	CorrectRejection
102.031	0.2	ToneStart	Standard	37	0	0	1	n/a	CorrectRejection
103.281	2	TrialStart	Standard	38	0	0	1	n/a	CorrectRejection
105.281	0.2	ToneStart	Standard	38	0	0	1	n/a	CorrectRejection
106.53	2	TrialStart	Oddball	39	1	1	1	642	Hit
108.53	0.2	ToneStart	Oddball	39	1	1	1	642	Hit
109.78	2	TrialStart	Standard	40	0	0	1	n/a	CorrectRejection
111.78	0.2	ToneStart	Standard	40	0	0	1	n/a	CorrectRejection
113.03	2	TrialStart	Standard	41	0	0	1	n/a	CorrectRejection
115.029	0.2	ToneStart	Standard	41	0	0	1	n/a	CorrectRejection
116.279	1	TrialStart	Standard	42	0	0	1	n/a	CorrectRejection
117.279	0.2	ToneStart	Standard	42	0	0	1	n/a	CorrectRejection
118.529	1	TrialStart	Standard	43	0	0	1	n/a	CorrectRejection
119.529	0.2	ToneStart	Standard	43	0	0	1	n/a	CorrectRejection
120.779	1	TrialStart	Novel	44	0	0	1	n/a	CorrectRejection
121.779	0.2	ToneStart	Novel	44	0	0	1	n/a	CorrectRejection
123.029	1	TrialStart	Standard	45	0	0	1	n/a	CorrectRejection
124.028	0.2	ToneStart	Standard	45	0	0	1	n/a	CorrectRejection
125.278	2	TrialStart	Standard	46	0	0	1	n/a	CorrectRejection
127.278	0.2	ToneStart	Standard	46	0	0	1	n/a	CorrectRejection
128.528	2	TrialStart	Standard	47	0	0	1	n/a	CorrectRejection
130.528	0.2	ToneStart	Standard	47	0	0	1	n/a	CorrectRejection
131.778	1	TrialStart	Standard	48	0	0	1	n/a	CorrectRejection
132.778	0.2	ToneStart	Standard	48	0	0	1	n/a	CorrectRejection
134.027	2	TrialStart	Oddball	49	1	1	1	777	Hit
136.027	0.2	ToneStart	Oddball	49	1	1	1	777	Hit
137.277	2	TrialStart	Standard	50	0	0	1	n/a	CorrectRejection
139.277	0.2	ToneStart	Standard	50	0	0	1	n/a	CorrectRejection
140.527	2	TrialStart	Standard	51	0	0	1	n/a	CorrectRejection
142.527	0.2	ToneStart	Standard	51	0	0	1	n/a	CorrectRejection
143.776	2	TrialStart	Standard	52	0	0	1	n/a	CorrectRejection
145.776	0.2	ToneStart	Standard	52	0	0	1	n/a	CorrectRejection
147.026	2	TrialStart	Novel	53	0	0	1	n/a	CorrectRejection
149.026	0.2	ToneStart	Novel	53	0	0	1	n/a	CorrectRejection
150.276	2	TrialStart	Standard	54	0	0	1	n/a	CorrectRejection
152.275	0.2	ToneStart	Standard	54	0	0	1	n/a	CorrectRejection
153.525	1	TrialStart	Standard	55	0	0	1	n/a	CorrectRejection
154.525	0.2	ToneStart	Standard	55	0	0	1	n/a	CorrectRejection
155.775	1	TrialStart	Novel	56	0	0	1	n/a	CorrectRejection
156.775	0.2	ToneStart	Novel	56	0	0	1	n/a	CorrectRejection
158.025	2	TrialStart	Standard	57	0	0	1	n/a	CorrectRejection
160.025	0.2	ToneStart	Standard	57	0	0	1	n/a	CorrectRejection
161.274	1	TrialStart	Standard	58	0	0	1	n/a	CorrectRejection
162.274	0.2	ToneStart	Standard	58	0	0	1	n/a	CorrectRejection
163.524	1	TrialStart	Standard	59	0	0	1	n/a	CorrectRejection
164.524	0.2	ToneStart	Standard	59	0	0	1	n/a	CorrectRejection
165.774	1	TrialStart	Oddball	60	1	0	0	n/a	Miss
166.774	0.2	ToneStart	Oddball	60	1	0	0	n/a	Miss
168.024	1	TrialStart	Standard	61	0	0	1	n/a	CorrectRejection
169.024	0.2	ToneStart	Standard	61	0	0	1	n/a	CorrectRejection
170.274	2	TrialStart	Standard	62	0	0	1	n/a	CorrectRejection
172.273	0.2	ToneStart	Standard	62	0	0	1	n/a	CorrectRejection
173.523	2	TrialStart	Standard	63	0	0	1	n/a	CorrectRejection
175.523	0.2	ToneStart	Standard	63	0	0	1	n/a	CorrectRejection
176.773	1	TrialStart	Standard	64	0	0	1	n/a	CorrectRejection
177.773	0.2	ToneStart	Standard	64	0	0	1	n/a	CorrectRejection
179.023	1	TrialStart	Novel	65	0	0	1	n/a	CorrectRejection
180.022	0.2	ToneStart	Novel	65	0	0	1	n/a	CorrectRejection
181.272	2	TrialStart	Standard	66	0	0	1	n/a	CorrectRejection
183.272	0.2	ToneStart	Standard	66	0	0	1	n/a	CorrectRejection
184.522	1	TrialStart	Standard	67	0	0	1	n/a	CorrectRejection
185.522	0.2	ToneStart	Standard	67	0	0	1	n/a	CorrectRejection
186.772	2	TrialStart	Oddball	68	1	1	1	1185	Hit
188.772	0.2	ToneStart	Oddball	68	1	1	1	1185	Hit
190.021	1	TrialStart	Standard	69	0	0	1	n/a	CorrectRejection
191.021	0.2	ToneStart	Standard	69	0	0	1	n/a	CorrectRejection
192.271	1	TrialStart	Standard	70	0	0	1	n/a	CorrectRejection
193.271	0.2	ToneStart	Standard	70	0	0	1	n/a	CorrectRejection
194.521	2	TrialStart	Standard	71	0	0	1	n/a	CorrectRejection
196.521	0.2	ToneStart	Standard	71	0	0	1	n/a	CorrectRejection
197.771	2	TrialStart	Standard	72	0	0	1	n/a	CorrectRejection
199.77	0.2	ToneStart	Standard	72	0	0	1	n/a	CorrectRejection
201.02	1	TrialStart	Standard	73	0	0	1	n/a	CorrectRejection
202.02	0.2	ToneStart	Standard	73	0	0	1	n/a	CorrectRejection
203.27	2	TrialStart	Standard	74	0	0	1	n/a	CorrectRejection
205.27	0.2	ToneStart	Standard	74	0	0	1	n/a	CorrectRejection
206.52	2	TrialStart	Oddball	75	1	1	1	1280	Hit
208.519	0.2	ToneStart	Oddball	75	1	1	1	1280	Hit
209.769	2	TrialStart	Standard	76	0	0	1	n/a	CorrectRejection
211.769	0.2	ToneStart	Standard	76	0	0	1	n/a	CorrectRejection
213.019	1	TrialStart	Standard	77	0	0	1	n/a	CorrectRejection
214.019	0.2	ToneStart	Standard	77	0	0	1	n/a	CorrectRejection
215.269	2	TrialStart	Standard	78	0	0	1	n/a	CorrectRejection
217.269	0.2	ToneStart	Standard	78	0	0	1	n/a	CorrectRejection
218.518	1	TrialStart	Novel	79	0	0	1	n/a	CorrectRejection
219.518	0.2	ToneStart	Novel	79	0	0	1	n/a	CorrectRejection
220.768	2	TrialStart	Standard	80	0	0	1	n/a	CorrectRejection
222.768	0.2	ToneStart	Standard	80	0	0	1	n/a	CorrectRejection
224.018	2	TrialStart	Standard	81	0	0	1	n/a	CorrectRejection
226.018	0.2	ToneStart	Standard	81	0	0	1	n/a	CorrectRejection
227.267	2	TrialStart	Oddball	82	1	1	1	1603	Hit
229.267	0.2	ToneStart	Oddball	82	1	1	1	1603	Hit
230.517	2	TrialStart	Standard	83	0	0	1	n/a	CorrectRejection
232.517	0.2	ToneStart	Standard	83	0	0	1	n/a	CorrectRejection
233.767	2	TrialStart	Standard	84	0	0	1	n/a	CorrectRejection
235.767	0.2	ToneStart	Standard	84	0	0	1	n/a	CorrectRejection
237.016	2	TrialStart	Novel	85	0	0	1	n/a	CorrectRejection
239.016	0.2	ToneStart	Novel	85	0	0	1	n/a	CorrectRejection
240.266	1	TrialStart	Standard	86	0	0	1	n/a	CorrectRejection
241.266	0.2	ToneStart	Standard	86	0	0	1	n/a	CorrectRejection
242.516	2	TrialStart	Standard	87	0	0	1	n/a	CorrectRejection
244.516	0.2	ToneStart	Standard	87	0	0	1	n/a	CorrectRejection
245.765	1	TrialStart	Standard	88	0	0	1	n/a	CorrectRejection
246.765	0.2	ToneStart	Standard	88	0	0	1	n/a	CorrectRejection
248.015	1	TrialStart	Standard	89	0	0	1	n/a	CorrectRejection
249.015	0.2	ToneStart	Standard	89	0	0	1	n/a	CorrectRejection
250.265	2	TrialStart	Standard	90	0	0	1	n/a	CorrectRejection
252.265	0.2	ToneStart	Standard	90	0	0	1	n/a	CorrectRejection
253.515	1	TrialStart	Standard	91	0	0	1	n/a	CorrectRejection
254.515	0.2	ToneStart	Standard	91	0	0	1	n/a	CorrectRejection
255.764	1	TrialStart	Standard	92	0	0	1	n/a	CorrectRejection
256.764	0.2	ToneStart	Standard	92	0	0	1	n/a	CorrectRejection
258.014	2	TrialStart	Standard	93	0	0	1	n/a	CorrectRejection
260.014	0.2	ToneStart	Standard	93	0	0	1	n/a	CorrectRejection
261.264	1	TrialStart	Novel	94	0	0	1	n/a	CorrectRejection
262.264	0.2	ToneStart	Novel	94	0	0	1	n/a	CorrectRejection
263.514	2	TrialStart	Oddball	95	1	1	1	910	Hit
265.513	0.2	ToneStart	Oddball	95	1	1	1	910	Hit
266.763	2	TrialStart	Standard	96	0	0	1	n/a	CorrectRejection
268.763	0.2	ToneStart	Standard	96	0	0	1	n/a	CorrectRejection
270.013	1	TrialStart	Standard	97	0	0	1	n/a	CorrectRejection
271.013	0.2	ToneStart	Standard	97	0	0	1	n/a	CorrectRejection
272.263	2	TrialStart	Standard	98	0	0	1	n/a	CorrectRejection
274.262	0.2	ToneStart	Standard	98	0	0	1	n/a	CorrectRejection
275.512	1	TrialStart	Standard	99	0	0	1	n/a	CorrectRejection
276.512	0.2	ToneStart	Standard	99	0	0	1	n/a	CorrectRejection
277.762	1	TrialStart	Standard	100	0	0	1	n/a	CorrectRejection
278.762	0.2	ToneStart	Standard	100	0	0	1	n/a	CorrectRejection
280.012	1	TrialStart	Standard	101	0	0	1	n/a	CorrectRejection
281.012	0.2	ToneStart	Standard	101	0	0	1	n/a	CorrectRejection
282.262	1	TrialStart	Standard	102	0	0	1	n/a	CorrectRejection
283.261	0.2	ToneStart	Standard	102	0	0	1	n/a	CorrectRejection
284.511	1	TrialStart	Standard	103	0	0	1	n/a	CorrectRejection
285.511	0.2	ToneStart	Standard	103	0	0	1	n/a	CorrectRejection
286.761	1	TrialStart	Standard	104	0	0	1	n/a	CorrectRejection
