onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.042	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.042	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.308	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.308	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.575	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.575	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.841	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.841	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.107	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.107	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.374	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.374	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.64	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.64	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.907	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.907	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.173	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.173	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.44	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.439	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.706	1	TrialStart	Oddball	11	1	1	1	416	Hit
28.706	0.2	ToneStart	Oddball	11	1	1	1	416	Hit
29.972	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.974	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.239	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.24	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.505	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.538	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.805	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.805	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
41.071	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
43.071	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.338	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.338	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.604	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.604	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.87	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.87	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
53.137	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
54.137	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.403	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.403	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.669	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.669	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.936	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.936	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
64.202	2	TrialStart	Oddball	24	1	1	1	498	Hit
66.202	0.2	ToneStart	Oddball	24	1	1	1	498	Hit
67.469	2	TrialStart	Standard	25	0	0	1	n/a	CorrectRejection
69.468	0.2	ToneStart	Standard	25	0	0	1	n/a	CorrectRejection
70.735	2	TrialStart	Standard	26	0	0	1	n/a	CorrectRejection
72.735	0.2	ToneStart	Standard	26	0	0	1	n/a	CorrectRejection
74.001	1	TrialStart	Standard	27	0	0	1	n/a	CorrectRejection
75.001	0.2	ToneStart	Standard	27	0	0	1	n/a	CorrectRejection
76.268	2	TrialStart	Standard	28	0	0	1	n/a	CorrectRejection
78.267	0.2	ToneStart	Standard	28	0	0	1	n/a	CorrectRejection
79.534	2	TrialStart	Oddball	29	1	1	1	413	Hit
81.534	0.2	ToneStart	Oddball	29	1	1	1	413	Hit
82.8	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
83.801	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
85.067	1	TrialStart	Standard	31	0	0	1	n/a	CorrectRejection
86.083	0.2	ToneStart	Standard	31	0	0	1	n/a	CorrectRejection
87.35	2	TrialStart	Standard	32	0	0	1	n/a	CorrectRejection
89.35	0.2	ToneStart	Standard	32	0	0	1	n/a	CorrectRejection
90.616	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.616	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
92.883	2	TrialStart	Standard	34	0	0	1	n/a	CorrectRejection
